jump, 0, geca,0.8547
jump, 1, geca,0.8040
jump, 2, geca,0.8691
jump, 3, geca,0.8606
jump, 4, geca,0.9430
jump, 5, geca,0.9503
jump, 6, geca,0.8331
jump, 7, geca,0.7782
jump, 8, geca,0.8944
jump, 9, geca,0.8833
jump, 0, baseline,0.0
jump, 0, baseline,0.0
jump, 0, baseline,0.0
jump, 0, baseline,0.0
jump, 0, baseline,0.0
jump, 0, baseline,0.0
jump, 0, baseline,0.0
jump, 0, baseline,0.0
jump, 0, baseline,0.0
jump, 0, baseline,0.0
around_right, 0, geca,0.7140
around_right, 0, geca,0.9249
around_right, 0, geca,0.7525
around_right, 0, geca,0.9770
around_right, 0, geca,0.8941
around_right, 0, geca,0.8416
around_right, 0, geca,0.7764
around_right, 0, geca,0.8644
around_right, 0, geca,0.8668
around_right, 0, geca,0.5954
around_right, 0, baseline,0.0
around_right, 0, baseline,0.0
around_right, 0, baseline,0.0
around_right, 0, baseline,0.0
around_right, 0, baseline,0.0
around_right, 0, baseline,0.0
around_right, 0, baseline,0.0
around_right, 0, baseline,0.0
around_right, 0, baseline,0.0